bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
Celtic Bank,2024-H2,8,Coast; FinFit; M1; Perpay; Bonsai; Rocket; Shopify; Stripe,0,,2,FinFit; Stripe,0,,4,Coast; Perpay; M1; Shopify
Celtic Bank,2025-H1,9,Bonsai; Clearent; FinFit; Jeeves; M1; Rocket; Shopify; Perpay; Coast,1,Bonsai,2,Clearent; FinFit,1,Bonsai,6,Jeeves; Rocket; Shopify; M1; Perpay; Coast
Celtic Bank,2025-H2,8,Bonsai; Coast; Jeeves; M1; Rocket; ScanPay; Shopify; Stripe,1,Bonsai,0,,0,,6,Coast; Jeeves; Rocket; ScanPay; Shopify; M1
Celtic Bank,2026-H1,11,Benepass; Bonsai; CloudTrucks; Coast; Guesty; Jeeves; Mudflap; ScanPay; Shopify; Bluevine; Stripe,3,Benepass; Bonsai; Mudflap,2,Bluevine; Guesty,0,,5,CloudTrucks; Coast; Jeeves; ScanPay; Shopify
"Celtic Bank and Blue Ridge Bank, Chartered",2023-H2,1,Benepass,0,,0,,0,,0,
"Celtic Bank, Cross River Bank",2024-H1,1,Accountable,1,Accountable,0,,0,,1,Accountable
"Celtic Bank, Cross River Bank, Evolve Bank & Trust, Lead Bank; Celtic Bank, Cross River Bank, or Sutton Bank",2024-H2,1,Affirm,1,Affirm,0,,0,,0,
"Celtic Bank, YouLend",2025-H1,1,Stripe,0,,1,Stripe,0,,0,
"Celtic Bank, YouLend",2025-H2,1,Stripe,0,,1,Stripe,0,,0,
"Celtic Bank, a Utah-Chartered Industrial Bank",2018-H2,1,Deserve,0,,0,,0,,1,Deserve
"Celtic Bank, a Utah-Chartered Industrial Bank",2019-H2,1,Deserve,0,,0,,0,,1,Deserve
"Celtic Bank, a Utah-Chartered Industrial Bank",2022-H1,1,Seneca Women,0,,0,,0,,1,Seneca Women
"Celtic Bank, a Utah-Chartered Industrial Bank",2022-H2,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank, a Utah-Chartered Industrial Bank",2023-H1,2,Perpay; Seneca Women,0,,0,,0,,2,Perpay; Seneca Women
"Celtic Bank, a Utah-Chartered Industrial Bank",2023-H2,2,Perpay; Seneca Women,0,,0,,0,,2,Perpay; Seneca Women
"Celtic Bank, a Utah-Chartered Industrial Bank",2024-H1,2,Perpay; Seneca Women,0,,0,,0,,2,Perpay; Seneca Women
"Celtic Bank, a Utah-Chartered Industrial Bank",2024-H2,1,Seneca Women,0,,0,,0,,1,Seneca Women
"Celtic Bank, a Utah-Chartered Industrial Bank",2025-H1,1,Seneca Women,0,,0,,0,,1,Seneca Women
"Celtic Bank, a Utah-chartered industrial bank",2024-H1,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank, a Utah-chartered industrial bank",2025-H2,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank, a Utah-chartered industrial bank",2026-H1,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank, a Utah-chartered industrial bank; Celtic Bank, an Utah-Chartered Industrial Bank",2026-H1,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank, an Utah-Chartered Industrial Bank",2023-H1,1,Perpay,0,,0,,0,,0,
"Celtic Bank, an Utah-Chartered Industrial Bank",2023-H2,1,Perpay,0,,0,,0,,0,
Celtic Bank; Celtic Bank,2026-H1,1,Perpay,0,,0,,0,,0,
"Celtic Bank; Celtic Bank, a Utah-chartered industrial bank",2024-H1,1,Perpay,0,,0,,0,,0,
"Celtic Bank; Celtic Bank, a Utah-chartered industrial bank",2025-H1,1,Perpay,0,,0,,0,,1,Perpay
"Celtic Bank; Celtic Bank, a Utah-chartered industrial bank",2025-H2,1,Perpay,0,,0,,0,,0,
"Celtic Bank; Celtic Bank; Celtic Bank, a Utah-chartered industrial bank",2025-H1,1,Perpay,0,,0,,0,,0,
Celtic Bank; Evolve Bank through Solid,2022-H2,1,Flycoin,0,,0,,0,,1,Flycoin
Celtic; Celtic Bank; Celtic Bank,2024-H2,1,Perpay,0,,0,,0,,0,
Central Bank of Kansas City,2018-H2,1,Card.com,0,,0,,0,,0,
Central Bank of Kansas City,2019-H2,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2020-H2,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2021-H1,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2021-H2,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2022-H1,1,Payactiv,0,,0,,1,Payactiv,0,
Central Bank of Kansas City,2022-H2,1,Payactiv,0,,0,,0,,0,
